time (s)	det(V)
3319.789471	-0.120702	
3319.791079	-0.132936	
3319.792692	-0.122261	
3319.794363	-0.130849	
3319.795957	-0.116907	
3319.797623	-0.139820	
3319.799221	-0.120774	
3319.800864	-0.125471	
3319.802460	-0.119300	
3319.804161	-0.131836	
3319.805728	-0.122043	
3319.807447	-0.134672	
3319.808996	-0.117366	
3319.810697	-0.141061	
3319.812264	-0.123316	
3319.813950	-0.112605	
3319.815483	-0.127695	
3319.817229	-0.119803	
3319.818723	-0.130168	
3319.820351	-0.124641	
3319.821844	-0.146954	
3319.823457	-0.127703	
3319.824970	-0.128098	
3319.826535	-0.136549	
3319.828088	-0.132847	
3319.829702	-0.113749	
3319.831287	-0.128831	
3319.832865	-0.133068	
3319.834478	-0.123767	
3319.836019	-0.116021	
3319.837687	-0.129878	
3319.839271	-0.123505	
3319.840951	-0.138116	
3319.842545	-0.123517	
3319.844198	-0.144614	
3319.845791	-0.132355	
3319.847467	-0.136186	
3319.849035	-0.116875	
3319.850741	-0.124593	
3319.852295	-0.115787	
3319.854002	-0.137588	
3319.855564	-0.126402	
3319.857266	-0.124303	
3319.858785	-0.129523	
3319.860535	-0.136215	
3319.862025	-0.123626	
3319.863806	-0.137242	
3319.865289	-0.129133	
3319.867078	-0.116182	
3319.868556	-0.129842	
3319.870335	-0.115867	
3319.871819	-0.126998	
3319.873591	-0.125133	
3319.875088	-0.136049	
3319.876857	-0.136650	
3319.878357	-0.115912	
3319.880081	-0.123993	
3319.881603	-0.124798	
3319.883312	-0.122764	
3319.884845	-0.118885	
3319.886552	-0.117487	
3319.888094	-0.124186	
3319.889792	-0.115578	
3319.891382	-0.127594	
3319.892880	-0.119163	
3319.894551	-0.113773	
3319.896053	-0.121100	
3319.897686	-0.121539	
3319.899215	-0.129076	
3319.900852	-0.128049	
3319.902340	-0.118035	
3319.904078	-0.140126	
3319.905554	-0.129395	
3319.907276	-0.131505	
3319.908791	-0.119501	
3319.910548	-0.126498	
3319.912036	-0.127582	
3319.913799	-0.132508	
3319.915294	-0.115791	
3319.917086	-0.128589	
3319.918571	-0.105156	
3319.920358	-0.111815	
3319.921836	-0.110615	
3319.923602	-0.126184	
3319.925095	-0.137979	
3319.926854	-0.125177	
3319.928357	-0.124561	
3319.930105	-0.129987	
3319.931627	-0.118772	
3319.933366	-0.121958	
3319.934901	-0.135651	
3319.936629	-0.115223	
3319.938170	-0.117781	
3319.939886	-0.106300	
3319.941440	-0.128053	
3319.943141	-0.113817	
3319.944722	-0.125737	
3319.946410	-0.109378	
3319.947982	-0.131276	
3319.949661	-0.122389	
3319.951231	-0.126333	
